ARR ID,ARR AD,"First PT STAR /
STAR ID",DCT ARR PT,ARR FPL Option,"ARR Time
Applicability","ARR Operational
Goal",ARR Remarks,NAS / FAB,"Release
Date","Special Event and 
Crisis"
LE5578,LEMO,,"BLN,HIJ,VJF,MGA,VIBAS,CLANA,ONUBA,MAR",,H24,"No STAR available via:
a. VJF, expect routing via VJF-PENAS-MRN.
b. MGA, expect routing via MGA-PENAS-MRN.
c. VIBAS / CLANA / ONUBA / MAR, expect ATC instructions.",,LE,19 JUN 2025,ONU_MEETING_ADJUSTMNTS
LE5580,LEMO,,SANTA,,H24,"No STAR available, expect ATC instructions",,LE,19 JUN 2025,ONU_MEETING_ADJUSTMNTS
LE5756,LEMO,"(BLN,HIJ)",,,H24,"No STAR available, expect ATC instructions",,LE,19 JUN 2025,ONU_MEETING_ADJUSTMNTS
LE5813,LEMG,VULPE,,"NOT AVBL FOR TFC
VIA (BLN, ASTRO)",H24,"To allocate correctly arriving traffic
This traffic shall file BLN STAR (If via BLN) or VIBAS STAR (If via ASTRO)",,LE,19 JUN 2025,
LP5537,LPPT,VATZI,,"COMPULSORY FOR TFC
1. ARR LPPT & VIA (ORTOP, MINTA, PIREN, AMSEL, OSLAD, AKUDA, VFA, BAROK, TAKAV, ADILI)
2. DEP LPBJ & ARR LPPT",H24,"Segregation and sequencing from traffic ARR LPPT from other sectors.
Segregation and sequencing from traffic DEP LPPT to other sectors.",,LP,24 JUN 2025,
ED5552,EDDF,"(SPESA5B, SPESA5C)",,"ONLY AVBL FOR TFC
ACFT-PBN (D1, D2, D3, D4, O1, O2, O3, O4)",H24,To force RNAV-1 equipped flights approaching from the South on correct STAR. Switchover to Runway 25R/07L for landing can happen upon turn to final when tactical situation requires. ,,ED,28 MAY 2025,
ED5555,EDDF,"(RASVO1A,RASVO1B, RASVO2C, RASVO1D)",,"ONLY AVBL FOR TFC
VIA RAMOB & ACFT-PBN (D1, D2, D3, D4)
----------
NOT AVBL FOR TFC
1. ARR EDDF & VIA RAMOB EXC
    a. VIA RASVO
    b. DEP EDFH & VIA RAMOB
    c. VIA (OBIGA Z111 RAMOB) & ACFT-PBN (D1, D2, D3, D4)","H24
----------
H24","To force RNAV-1 equipped flights to use correct RNAV STARs.  
---------------------
1.b. to enable flight planning with intercept RASVO STAR at waypoint RAMOB as shortcut for CP EDFH - EDDF
1.c. to enable shortcuts for ARR EDDF via IDARO - OBIGA - Z111 - RAMOB
Heavies (ACFT type (A38*/MD11/B74*/C-5 Galaxy/AN124/AN225/E3A/KC35)), CARGO, GAT, shall expect landing on RWY25L/07R.
Switchover to southerly runway may be expected on turn to final. 
Assignment of RASVO 1B/1C STAR by ATC is possible.
In case of RCF landing on RWY25L/07R shall be performed.",,ED,28 MAY 2025,
ED5617,EDDF,"(IMCOM1A, IMCOM1B, IMCOM2C, IMCOM1D)",,"ONLY AVBL AND COMPULSORY FOR TFC
1. ACFT-PBN (O1, O2, O3, O4)
    a. VIA IMCOM
    b. VIA (OBIGA Z111 RAMOB)",H24,"To force RNP-1 equipped flights to use correct RNP STARs. 
1.a.  All RNP-1 equipped flights via IMCOM shall file IMCOM STAR.
1.b. RNP-1 equipped flights via OBIGA Z111 RAMOB shall file IMCOM STAR in FPL and are allowed to intercept IMCOM STAR at RAMOB.",,ED,28 MAY 2025,
ED5624,EDDF,"(DIXAT1A, DIXAT1B, DIXAT1C, DIXAT1D)",,"ONLY AVBL AND COMPULSORY FOR TFC
1. ACFT-PBN (O1, O2, O3, O4)
    a. VIA DIXAT
    b. VIA (MISGO T911 LIPMI) EXC STAR (ROLIS5A, ROLIS5D)
    c. VIA (ONUNE (T473, DCT) LIPMI) EXC STAR (ROLIS5A, ROLIS5D)
    d. DEP (EDDL, EDLN) & VIA LIPMI
----------
NOT AVBL FOR TFC
1. VIA (MISGO T911 LIPMI) & RFL ABV FL245 IN (EDYYFRA, EDUUUTA) 
2. VIA (ONUNE (T473, DCT) LIPMI) & RFL ABV FL245 IN (EDYYFRA, EDUUUTA)","H24
----------
H24","To force RNP-1 equipped flights to use correct RNP STARs. 
Flights below FL245 may intercept DIXAT STAR horizontally via LIPMI and vertically after LIPMI when reaching the appropriate vertical constraint.
Heavies (ACFT type (A38*/MD11/B74*/C-5 Galaxy/AN124/AN225/E3A/KC35)), CARGO, GAT, shall expect landing on RWY25L/07R.
Switchover to southerly runway may be expected on turn to final.",,ED,28 MAY 2025,
EN5529,ENGM,ADOPI,,"NOT AVBL FOR TFC
1. FLT-TYPE (S) & DEP (EGLL, EGSS, EGKK)
2. FLT-TYPE (S) & VIA ENOS5",H24,To facilitate correct ARR traffic flow,This traffic shall file RIPAM STAR,EN,31 MAY 2025,
