RAD Application ID,Condition,Explanation,"Time
Applicability",NAS / FAB,"Release
Date","Special Event and 
Crisis"
EB_LIM_AD,Limits,"EB**  ARR/DEP DCT  20NM 
(EBBR, EBMB) ARR/DEP DCT 30 NM
ARR/DEP EBKT DCT 0 NM
ARR/DEP ELLX DCT 10NM",H24,EB,29 AUG 2024,
ED_LIM_AD,Limits,"1. ED** ARR DCT 30NM EXC (EDAH, EDAZ, EDDB, EDDF, EDDG, EDDH, EDDK, EDDL, EDDM, EDDN,  EDDP, EDDS, EDDV, EDDW, EDHI, EDHK, EDHL, EDLP, EDLN, EDLW, EDNY, EDSB, EDTL, EDVE, EDXW, EDAY, EDFH, EDTD, EDTM) ARR DCT 0NM

2. ED** DEP DCT 10NM EXC (EDAH, EDAZ, EDDB, EDDF, EDDG, EDDH, EDDK, EDDL, EDDM, 
EDDN, EDDP, EDDS, EDDV, EDDW, EDHI, EDHK, EDHL, EDLP, EDLN, EDLW, EDNY, EDSB, EDTL, EDVE, EDXW, EDAY, EDAC, EDBH, EDBM, EDBN, EDDC, EDDE, EDDN, EDHL, EDMO, EDVK) DEP DCT 0NM

3. ET** ARR/DEP DCT 40NM EXC
   a. ETNL ARR DCT 0NM
   b. ETNS ARR/DEP DCT 0NM",H24,ED,24 APR 2025,
EE_LIM_AD,Limits,"1. EE** ARR/DEP DCT 80NM EXC
   a. (EETN, EEEI) ARR/DEP DCT 0NM
   b. EETU ARR/DEP DCT = 40NM",H24,EE,28 JAN 2025,
EF_LIM_AD,Limits,"1. EF** ARR/DEP DCT = 0NM EXC 
   a. (EFAA, EFAH, EFAL, EFEJ, EFEU, EFFH, EFFO, EFGE, EFHF, EFHH, EFHL, EFHM, EFHN, EFHO, EFHP, EFHS, EFHV, EFHY, EFII, EFIK, EFIM, EFIT, EFJE, EFJM, EFKG, EFKH, EFKJ, EFKM, EFKN, EFKO, EFKR, EFKV, EFKY, EFLA, EFLL, EFLN, EFME, EFMH, EFMN, EFMS, EFNS, EFNU, EFOP, EFPA, EFPE, EFPI, EFPJ, EFPK, EFPL, EFPN, EFPR, EFPT, EFPU, EFPY, EFRA, EFRH, EFRN, EFRU, EFRV, EFRY, EFSE, EFSO, EFSU, EFTO, EFTS, EFTV, EFVI, EFVL, EFVP, EFVT, EFWB, EFYL) = ARR/DEP DCT 50NM
   b. (EFEK, EFJV, EFKA, EFLR) = ARR/DEP DCT 100NM",H24,EF,28 JAN 2025,
EG_LIM_AD,Limits,"AD  Departures/Arrivals DCT  = 50NM
EGAA / EGBB / EGBJ (except below FL105)/ EGCC / EGCN / EGFF (except below FL105) / EGGD (except below FL105) / EGGW / EGHL / EGJA / EGJB / EGJJ / EGKB / EGKK / EGLC / EGLF / EGLK / EGLL / EGMC / EGNH / EGNT / EGNX / EGPF / EGPH /  EGPK / EGSC / EGSS / EGTD / EGTE (except below FL105) / EGTF / EGVO / EGWU Departures/Arrivals DCT = 0NM
EGNM / EGNS / EGSU / EGTC / EGTK  Departures  = 0NM  Arrivals   = 50NM
EGGP Departures = 30NM / Arrivals = 0NM
EGLD / EGHH / EGHI / EGSY Departures = 50NM / Arrivals = 0NM",H24,EG,09 FEB 2023,
EG_TP,SID / STAR Requirements,"Exceptions     = Type Mil
For AD's where SID/STARs are published: 
- last RP of the SID shall be used as the first RP of filed route 
- first RP of the STAR shall be used as the last RP of filed route
   EXC when using Night Time DCTs which join at an intermediate point on a STAR
   EXC for the following ADs:
   EGLD/LL/WU: When using a EGLD/LL/WU STAR the use of the STAR initial waypoint is mandatory EXC for:
   TFC DEP EGKK may join the ALESO1H STAR at BIG
   TFC DEP EGNM which may join the HON1H STAR at TOBID
   TFC DEP EGBB/BE/NX which may join  HON1H STAR at WEZKO
  TFC DEP EGBP/DM/VA/VN which may join  SIRIC1H STAR at NIGIT (RNAV1) or the HAZEL1H STAR at OCK (RNAV5)
   EGKK: When using a EGKK STAR the use of  STAR initial waypoint is mand exc for:
   TFC via SITET which may join SIRIC1G STAR at MID 
TFC DEP EGBP/VA/VN which may join  SIRIC1G STAR at NIGIT (RNAV1) or the GWC1G STAR at GWC (RNAV5)
     TFC DEP MIDLANDS_GROUP, EGBG/BK may join the KIDLI1G STAR at MID
TFC DEP EGKB/MC/LC/TO which may join the KONAN2G at LARCK
   EGSC/SS: When using a EGSC/SS STAR the use of the STAR initial waypoint is mandatory except for:
    TFC DEP EGBE/BW via WEZKO which may join the SILVA1L at BOMBO 
TFC DEP EGLC may join the DET2A at LOFFO.
EGGW: When using a EGGW STAR the use of the STAR initial waypoint is mandatory except for:
    TFC using the DET2A may join the STAR at LOFFO
   EGBB/BE: When using a EGBB/BE STAR the use of the STAR initial waypoint is mandatory except for
   TFC DEP EGGP/NR which may join the WAL1B STAR at CREWE
   TFC via WAL not above FL085 in EG which may join the WAL1B STAR at CREWE
   TFC DEP EGSH (above FL155)/ SS/WU which may join the HEMEL1B at BUZAD
   TFC via night direct AVANT DCT CPT or DEP EGBG/BJ/BK/BP/NE/NX/SH (BLW FL155)/TC/TK/VN which may join the HEMEL1B STAR at HON
   TFC DEP EGGW/LC/LL/SC which may join the HEMEL1B STAR at WELIN
   TFC via night direct RAPIX/GALSO DCT WELIN which may join the HEMEL1B STAR at WELIN
EGKB/LC: When using a EGKB/LC STAR the use of the STAR initial waypoint is mandatory except for
     DEP EGGW/MC/SC/SH/SS/WU may join the SUMUM1C STAR at LOGAN
   TFC Via SITET may join the  NEVIL1C STAR at NETVU
   DEP EGBE / BW may join the  SILVA1C STAR at BOMBO
   DEP EGBG/BK/NX and TFC with RFL BLW FL075 may join the HON1C STAR at TIXEX
   DEP FARNBOROUGH_GROUP, EGHO/HR may join the SAM1C STAR at EVEXU
   DEP EGKA may join the SAM1C STAR at SOXUX
   DEP EGKK / LL / LC / KB / MC may join the AVANT1C at GODLU
TFC via LAKEY DCT MAMUL DCT MOGLI DCT ODVOD may join the LISTO STAR at ODVOD
EGHH/HI: When using a EGHI/HH STAR the use of the STAR initial waypoint is mandatory except for:
   DEP EGKB/LC/MC/TO or via KONAN/RINTI which may join the ELDAX1S at NOTGI   
   DEP HO/HQ/KK/LL/SH/TE/TK/WU/FARNBOROUGH_GROUP or traffic via GIBSO which may file SAM DCT EGHI or BIA DCT EGHH
EGPH: When using a EGPH STAR the use of  STAR initial waypoint is mandatory except for:
   TFC via TRN which may join the TUNSO1E STAR at TLA
   EGPF: When using a EGPF STAR the use of  STAR initial waypoint is mandatory except for:
   TFC via SAB DCT TLA which may join the AGPED1G STAR at TLA
EGMC: When using a EGMC STAR the use of  STAR initial waypoint is mandatory except for:
   DEP EGGW/SC/SH/SS/TB/WU which may join the SUMUM1S STAR at LOGAN
   Traffic via RINTI may join SOVAT1S STAR at ATSAP
   TFC via SITET may join NEVIL1S STAR at NETVU
   DEP EGHO/HR, FARNBOROUGH_GROUP which may join the SAM1S STAR at EVEXU
   DEP EGKA which may join the SAM1S STAR at SOXUX
   DEP EGBE / BW which may join the  SILVA1S STAR at BOMBO
EGNX: When using a EGNX STAR the use of the STAR initial waypoint is mandatory exc for:
   TFC via AVANT DCT VELAG which may join the HEMEL1E STAR at VELAG
   TFC DEP EGGW/EGKB/EGKK/EGLC/EGLL/EGMC/EGMD/EGSC/EGSS/EGTO/EGWU which may join the HEMEL1E STAR at WELIN
   TFC via GALSO/RAPIX DCT WELIN which may join the HEMEL1E STAR at WELIN
   TFC via SUMUM (below FL155)/SOVAT/RINTI which may join the HEMEL1E STAR at WELIN
   DEP EGNR which may join the WAL2E STAR at  NUGRA (RNAV1) or route via ROKUP DCT EGNX (RNAV5)
TFC DEP EGCN may join the LIBSO1E STAR at DESIG (RNAV1) or route via ROKUP DCT EGNX (RNAV5)
TFC DEP EGLL with ARR EGKK may join the KIDLI1G at MID
EGCC ARR: TFC may join the OTBED1M at BURNI when DEP EGNM.
TFC via MONTY may join the AXCIS1M at MONTY.
TFC via DTY DCT SAPCO or DEP EGBB/EGBE/EGBG/EGBJ/EGNX/EGSH may join the ELVOS1M at TNT.
   TFC via RINTI/SUMUM BLW FL105 or DEP EGKK/EGTR BLW FL105 may join the ELVOS1M at TNT.
   TFC DEP EGNJ may join the OTBED1M at GOLES.
EGGP ARR:.
TFC via MONTY may join the PEPZE1L at MONTY 
EGBB ARR: TFC may join the HEMEL1B at HON when DEP  EGBG, EGBJ, EGBK, EGNE, EGNX, EGSH, EGTC, EGTK, EGVN OR VIA BOLRO, GARMI, KOTEM, ORIST.
EGNT: When using the EGNT POL1N STAR the use of the STAR initial waypoint is mandatory EXC for: TFC via DONAX/ALAVA/ROLEX/NELSA DCT GOKOV which may join the STAR at GOKOV.",H24,EG,08 MAY 2025,
EH_LIM_AD,Limits,"EHBD / EHBK / EHEH / EHGG / EHLE Departures/Arrivals  DCT  = 0NM
Other AD's:  Departure/Arrivals DCT  = 30NM (Except 1. where SID/STAR is available 
2. RFL above FL055)",H24,EH,24 NOV 2023,
EH_TP,SID / STAR Requirements,"The use of SID/STARs is mandatory.
SIDs/STARs shall be completely followed within EHAAFIR, leaving or joining at an intermediate point is not permitted.

SIDs are compulsory for DEP EHAM with RFL above FL055  Except via KUDAD and then WOODY with ARR EBBR, BERGI, IDRID 
SIDs are compulsory for DEP EHRD with RFL above FL055, except  ARR EHAM 
STARs  are compulsory for ARR EHAM with RFL above FL055, except DEP AMSTERDAM_GROUP 
STARs are compulsory for ARR EHRD with RFL above FL055 ",H24,EH,03 SEP 2023,
EI_LIM_AD,Limits,"AD ARR/DEP  DCT   = 50NM
 EICK / EIDW / EIDL / EIKN / EIME / EINN / EISG / EIWF / EIWT Departures/Arrivals DCT = 0NM
 EIKY  DEP  DCT     = 0NM
            ARR DCT     = 50NM",H24,EI,19 JUN 2024,
EK_LIM_AD,Limits,"1. EK** ARR/DEP DCT 100NM EXC
     a. (EKBI,  EKKA, EKYT) ARR  DCT 0NM
     b. (EKCH, EKRK) ARR/DEP DCT 26NM
     c. (EKKU, EKKV, EKMS, EKSO, EKSR, EKTB, EKVG) ARR/DEP DCT 50NM",H24,EK,21 AUG 2024,
