DEP ID,DEP AD,"Last PT SID /
SID ID",DCT DEP PT,DEP FPL Options,"DEP Time
Applicability","DEP Operational
Goal",DEP Remarks,NAS / FAB,"Release
Date","Special Event and 
Crisis"
LT5817,LTCW,,"RUPOM
",,H24,"To provide connection when LTTSA201, LTTSA202 are active",,LT,05 DEC 2025,
EB5510,EBKT,,ARWEF,,H24,To force IFR traffic on the SID all LVLs,,EB,17 OCT 2025,
EB5516,EBOS,"(COA, KOK, KONAN, ARWEF, FERDI, NIK, SASKI)",,"COMPULSORY FOR TFC
RFL ABV FL065 IN EB",H24,Traffic shall use SIDs and STARs where available.,,EB,17 OCT 2025,
EB5521,EBKT,ARWEF,,"COMPULSORY FOR TFC
RFL ABV FL065",H24,Traffic shall use SID where available,,EB,17 OCT 2025,
LC5517,LCPH,GENOS,,"COMPULSORY FOR TFC
VIA (TOMBI, LUTIG, ALKIS, TOSKA)",H24,To force traffic on correct DEP route,,LC,21 NOV 2025,
LC5518,LCRA,,ANANE,"ONLY AVBL FOR TFC
1. VIA (ANANE M67 MEZUS)
2. VIA (ANANE M28 APLON)
3. VIA (ANANE Z89 IDAKU)
4. FLT-TYPE (M)
----------
COMPULSORY FOR TFC
VIA (TOMBI, LUTIG, LAKTO, KEREN, KONFO, ALKIS, TOSKA, KAVOS, RASDA)","H24
----------
H24","FRA connecting route
To force traffic on correct DEP route",,LC,21 NOV 2025,
LE5621,LEGR,MAR,,"COMPULSORY FOR TFC
ARR (LEJR, GC**)",H24,Traffic allocation within Sevilla TMA,,LE,13 NOV 2025,
LE5646,LEMH,MEROS,,"COMPULSORY FOR TFC
ARR (EG**, EI**)",AIRAC MAR - FIRST AIRAC OCT H24,"Traffic allocation between Palma and Barcelona TMA
See Route Restriction LE2399",,LE,17 OCT 2025,
LE5654,"(LEPA, LEMH)",EPAMA,,"NOT AVBL FOR TFC
VIA EBROX",H24,The goal is to avoid dogleg,,LE,17 OCT 2025,
LF5510,LFMQ,,GEMKO,"ONLY AVBL FOR TFC
ARR LFML",H24,Airport connectivity,,LF,15 OCT 2025,
LF7410,"(LFMN, LFMD, LFTZ)",OKTET,,"NOT AVBL FOR TFC
1. VIA LFFRASE EXC
    a. VIA (OKTET DCT GIPNO DCT LOGNI)
    b. VIA (OKTET DCT NEDRU DCT GIPNO DCT LOGNI)","1. a. H24
1. b. (LFR222AZ, LFR222BZ, LFR222CZ) ACT",LFMM FRA - Flow organization,LF7410B: REFLOC = OKTET,LF,18 NOV 2025,
LF7459,"(LFHO, LFNH, LFMS)",,CM,"NOT AVBL FOR TFC
1. VIA LFFRASE EXC
    a. VIA (CM A6 MTG DCT PADKO)
    b. VIA (CM A6 MTG DCT IDELO DCT TINOT DCT BATIV DCT PELOS)
    c. VIA (CM A6 MTG DCT IDELO DCT SOSUR DCT OLNUL DCT NIVDA)
    d. VIA (CM A6 MTG DCT IDELO DCT SOSUR DCT OBLAD DCT OLNUL DCT NIVDA)
    e. VIA (CM A6 MTG DCT IDELO DCT TINOT DCT BATIV M731 PELOS) & ARR LIEA
    f. VIA (CM A6 MTG DCT IDELO DCT TINOT DCT RUBAS) AND-THEN
        i) VIA (RUBAS DCT LOKDU M623 PELOS) & ARR LIEO
        ii) ARR (LFKJ, LFKF, LFKO)
    g. VIA (CM A6 MTG DCT DIVKO DCT (NILDU, MAMES, VATIR))
    h. VIA (CM A6 MTG G7 MAMES) & ARR LEGE
    i. VIA (CM A6 MTG DCT SALIN DCT FJR)","1. a. H24
1. b. H24
1. c. H24
1. d. LFD54BSZ ACT
1. e. H24
1. f. H24
1. g. H24
1. h. H24
1. i. H24","LFMM FRA - Flow Organization
PTR LFMM7459A to force DEP LFNH into  LFFRASE at  MTG",,LF,18 NOV 2025,
LP5529,LPFR,"(IXOLI, GIMAL)",,"COMPULSORY FOR TFC
DEP LPFR & VIA (BAROK, BEXAL, NARTA)",H24,To allocate correctly departing traffic and ensure correct FDP,,LP,30 OCT 2025,
LT5698,LTAI,VEMEK,,"NOT AVBL FOR TFC
RFL ABV FL305 IN LT EXC
VIA (VEMEK  (W83, UW83) DOREN)",20:00-02:00,To facilitate FRA operations,,LT,24 NOV 2025,
LT5723,LTDB,KEMER,,"NOT AVBL FOR TFC
1. RFL ABV FL305 IN LT EXC
    a. VIA (KEMER (W75, UW75) SELVI (A285, UA285, T339, UT339) ERHAN) 
    b. VIA (KEMER (W75, UW75) URGUP)",20:00-02:00,To facilitate FRA operations,,LT,21 NOV 2025,
LT5739,LTFH,ALMUS,,"NOT AVBL FOR TFC
1. RFL ABV FL305 IN LT EXC
    a. VIA (ALMUS (T888, UT888, W72, UW72) ERVAK)
    b. VIA (ALMUS (T888, UT888, W72, UW72) SIV)",20:00-02:00,To facilitate FRA operations,,LT,21 NOV 2025,
LF7022,LFTW,FJR,,"COMPULSORY FOR TFC
VIA FJR",H24,FDPS limitation - to ensure the correct transmission of flight plan information,,LF,18 NOV 2025,
LP5554,LPFR,OKARI,,"COMPULSORY FOR TFC
DEP LPFR & VIA (OSLAD, AMSEL, ORTOP)",H24,To allocate correctly departing traffic and ensure correct FDP,,LP,30 OCT 2025,
ED5601,EDDL,MEVEL,,"COMPULSORY FOR TFC
VIA OSNAD",H24,To force departing traffic onto correct SID,,ED,19 SEP 2025,
EG5818,EGTK,,WEZKO,"NOT AVBL FOR TFC
1.	VIA (ADKIK, DVR, KONAN, EFMIH, REDFA, SAPCO, SAM, SITET, SOMVA, SUMUM, VABIK, XAMAB, XIDIL)
2.	ARR (FARNBOROUGH_GROUP, MIDLANDS_GROUP)
3.	ARR (EGKK, EGMD)
----------
COMPULSORY FOR TFC
ARR (EGLL, EGWU)","H24
----------
H24",To ensure traffic files via correct departure connecting point.  This traffic shall file via IXURA/BUGUP.,,EG,17 OCT 2025,
