ID,From,To,"Lower Vert.
Limit (FL)","Upper Vert.
Limit (FL)","Available or Not
(Y/N)",Utilization,Time Availability,"Operational
Goal",Remarks,"Direction of
Cruising Levels",ATC Unit,"Release
Date","Special Event and 
Crisis"
ED50038,AKOSI,LASGA,FL245,FL660,Yes,"ONLY AVBL FOR TFC
ARR (EDDV, EDDW, EDBM, EDBC, EDVE, ETNW)",H24,To offer shorter route option to specified traffic,,EVEN,"(EDUUUAC, EDMMACC)",25 SEP 2025,
ED51528,KONIN,AMEXO,FL245,FL660,Yes,"ONLY AVBL FOR TFC
DEP LOWS",H24,To offer shorter connection. Subject to frequent AUP-FUA restriction EDR307CZR/407CZR (MON..FRI daytime). Listed DCT refers to ANNEX3B MIN FL245.,,EVEN,"(EDUUUAC, EDMMACC)",18 SEP 2025,
ED5154,VEKIR,UMDAS,FL235,FL660,Yes,"ONLY AVBL FOR TFC
ARR EDDK",H24,"To offer shorter route option for ARR EDDK.
Subject to frequent AUP-FUA restriction EDR307CZR/407CZR (MON..FRI daytime)",,EVEN,EDUUUAC,18 SEP 2025,
ED51679,UNIMI,USUDO,FL315,FL660,Yes,"ONLY AVBL FOR TFC
1. VIA (UNIMI DCT USUDO DCT LIRSU)
2. VIA (UNIMI DCT USUDO DCT UTABA DCT BANIM DCT LIRSU)",19:00-03:30 (18:00-02:30),to offer route option when LASER area Ottobeuren (in the vicinity of KPT) is active.,,EVEN,EDUUUAC,04 OCT 2025,
ED51681,SOTOV,USUDO,FL315,FL660,Yes,"ONLY AVBL FOR TFC
1. VIA (SOTOV DCT USUDO DCT LIRSU)
2. VIA (SOTOV DCT USUDO DCT UTABA DCT BANIM DCT LIRSU)",19:00-03:30 (18:00-02:30),to offer route option when LASER area Ottobeuren (in the vicinity of KPT) is active.,,EVEN,EDUUUAC,04 OCT 2025,
GC5001,ERONI,INSAD,195,305,Yes,"ONLY AVBL FOR TFC
VIA (NOCUT DCT ETIBA DCT ISOKA DCT YORGI DCT ERONI DCT INSAD)",H24,To facilitate connections where there is no appropriate ATS route structure,,ODD,GCCCACC,11 SEP 2025,
GC5002,ERONI,KUXOV,195,305,Yes,"ONLY AVBL FOR TFC
VIA (NOCUT DCT ETIBA DCT ISOKA DCT YORGI DCT ERONI DCT KUXOV)",H24,To facilitate connections where there is no appropriate ATS route structure,,ODD,GCCCACC,11 SEP 2025,
GC5003,INSAD,ERONI,195,305,Yes,"ONLY AVBL FOR TFC
VIA (INSAD DCT ERONI DCT YORGI DCT ISOKA DCT ETIBA DCT NOCUT)",H24,To facilitate connections where there is no appropriate ATS route structure,,EVEN,GCCCACC,11 SEP 2025,
GC5004,KUXOV,ERONI,195,305,Yes,"ONLY AVBL FOR TFC
VIA (KUXOV DCT ERONI DCT YORGI DCT ISOKA DCT ETIBA DCT NOCUT)",H24,To facilitate connections where there is no appropriate ATS route structure,,EVEN,GCCCACC,11 SEP 2025,
GC5016,ETIBA,ISOKA,195,305,Yes,"ONLY AVBL FOR TFC
VIA (NOCUT DCT ETIBA DCT ISOKA DCT YORGI DCT ERONI)",H24,To facilitate connections where there is no appropriate ATS route structure,,EVEN,GCCCACC,11 SEP 2025,
GC5018,ISOKA,ETIBA,195,305,Yes,"ONLY AVBL FOR TFC
VIA (ERONI DCT YORGI DCT ISOKA DCT ETIBA DCT NOCUT)",H24,To facilitate connections where there is no appropriate ATS route structure,,EVEN,GCCCACC,11 SEP 2025,
GC5019,ISOKA,YORGI,195,305,Yes,"ONLY AVBL FOR TFC
VIA (NOCUT DCT ETIBA DCT ISOKA DCT YORGI DCT ERONI)",H24,To facilitate connections where there is no appropriate ATS route structure,,ODD,GCCCACC,11 SEP 2025,
GC5020,IXIKU,ERONI,195,305,Yes,"ONLY AVBL FOR TFC
VIA (IXIKU DCT ERONI DCT YORGI DCT ISOKA DCT ETIBA DCT NOCUT)",H24,To facilitate connections where there is no appropriate ATS route structure,,EVEN,GCCCACC,11 SEP 2025,
GC5021,ERONI,IXIKU,195,305,Yes,"ONLY AVBL FOR TFC
VIA (NOCUT DCT ETIBA DCT ISOKA DCT YORGI DCT ERONI DCT IXIKU)",H24,To facilitate connections where there is no appropriate ATS route structure,,ODD,GCCCACC,11 SEP 2025,
GC5022,ERONI,YORGI,195,305,Yes,"ONLY AVBL FOR TFC
VIA (ERONI DCT YORGI DCT ISOKA DCT ETIBA DCT NOCUT)",H24,To facilitate connections where there is no appropriate ATS route structure,,EVEN,GCCCACC,11 SEP 2025,
GC5024,YORGI,ISOKA,195,305,Yes,"ONLY AVBL FOR TFC
VIA (ERONI DCT YORGI DCT ISOKA DCT ETIBA DCT NOCUT)",H24,To facilitate connections where there is no appropriate ATS route structure,,EVEN,GCCCACC,11 SEP 2025,
GC5025,YORGI,ERONI,195,305,Yes,"ONLY AVBL FOR TFC
VIA (NOCUT DCT ETIBA DCT ISOKA DCT YORGI DCT ERONI)",H24,To facilitate connections where there is no appropriate ATS route structure,,ODD,GCCCACC,11 SEP 2025,
LL5058,BGN,ZACCI,MEA,FL375,Yes,"ONLY AVBL FOR TFC
DEP LLBG",NOTAM ACT,"Exercise P, P1, P2 scenario",,EVEN,LLLLACC,07 SEP 2025,
LL5059,ZACCI,RAPIV,FL115,FL600,Yes,"ONLY AVBL FOR TFC
1. VIA OJ AND-THEN VIA LL
2. DEP (LLBG, LLER, LLNV, LLRM, LLOV)",NOTAM ACT,"Exercise P, P1, P2, Q, Q1, Q2 scenario",,EVEN,LLLLACC,07 SEP 2025,
LL5065,RAPIV,ZACCI,FL115,FL600,Yes,"ONLY AVBL FOR TFC
1. VIA LC AND-THEN VIA LL AND-THEN VIA OJ
2. ARR (LLER, LLNV, LLOV, LLRM, LLBG)",NOTAM ACT,"Exercise R, R1, R2, R3 scenario",,ODD,LLLLACC,07 SEP 2025,
LL5066,ZACCI,BGN,MEA,FL195,Yes,"ONLY AVBL FOR TFC
ARR LLBG",NOTAM ACT,Exercise R  scenario,,ODD,LLLLACC,07 SEP 2025,
LL5067,ZACCI,TOMAL,FL115,FL600,Yes,"ONLY AVBL FOR TFC
ARR (LLER, LLNV, LLOV, LLRM)",NOTAM ACT,Exercise R1 scenario,,ODD,LLLLACC,07 SEP 2025,
LL5068,ZACCI,SALAM,FL115,FL600,Yes,"ONLY AVBL FOR TFC
1.VIA LC AND-THEN VIA LL AND-THEN VIA OJ
2.ARR (LLER, LLNV, LLOV, LLRM)",NOTAM ACT,"Exercise R2, R3 scenario",,ODD,LLLLACC,07 SEP 2025,
LL5088,ADLOD,ZACCI,FL115,FL600,Yes,"ONLY AVBL FOR TFC
1. VIA OJ AND-THEN VIA LL AND-THEN VIA LC 
2. DEP (LLER, LLOV, LLNV, LLRM)",NOTAM ACT,"Exercise Q, Q1, Q2 scenario",,EVEN,LLLLACC,07 SEP 2025,
LT5061,SUDES,DUGLA,FL245,FL285,Yes,"ONLY AVBL FOR TFC
ARR LTBJ",H24,TO ALLOW FURTHER DESCENT AND CONNECTIVITY TO OVZOK STAR,,ODD,LTAA,06 OCT 2025,
LT5061,SUDES,DUGLA,FL195,FL285,Yes,"ONLY AVBL FOR TFC
ARR LTBJ",H24,TO ALLOW FURTHER DESCENT AND CONNECTIVITY TO OVZOK STAR,,ODD,LTAA,06 OCT 2025,
LT5062,DUGLA,OVZOK,FL215,FL285,Yes,"ONLY AVBL FOR TFC
ARR LTBJ",H24,TO ALLOW FURTHER DESCENT AND CONNECTIVITY TO OVZOK STAR,,ODD,LTAA,06 OCT 2025,
