RAD Application ID,Airspace,"Airspace
Vert. Limit","Time
Applicability","DCT
Horiz. Limit","Cross-border
DCT Limits","ID
DCT limit","ID Not allowed
Cross-border
DCT",Remarks,"Release
Date","Special Event and 
Crisis"
LRARTMA,"(LRARTMA, LRCKTMA, LRCLTMA, LROPTMA)",,H24,0NM,NOT ALW,"LRAR1
LRCK1
LRCL1
LROP1",,,10 FEB 2025,
LOVVACC_FRA,"1. LOVVACC
2. LO**APP EXC LOWIATA1",,H24,FRA,"ALW BIDI (XNG LOVVACC - (LO**APP, LIRRACC, LIBBACC, LIPPACC, LIMMACC, 
LJLAACC, LDZOACC, LQSBACC, LYBAACC, LWSSACC, LAAAACC) BDRY)",-,-,"Free Route Airspace
SECSI FRA",17 JUL 2024,
EBBUACC_2,EBBUACC,BTN FL115-FL245,H24,0NM,"ALW EXC VIA
(EHAAACC,  EHMCACC,
EDGGACC)",EB2,"EHEB400
EBED400",,29 AUG 2024,
EBBUACC,EBBUACC,BLW FL115,H24,50NM,"ALW EXC VIA
(EHAAACC , EHMCACC,
EDGGACC , EGTTACC , LFFFACC)",EB1,"EHEB400
EBED400
EGEB400
LFEB400",,29 AUG 2024,
EDGGACC_2,EDGGACC,above FL095,H24,0NM,"Not allowed
except to/from
LFEEACC, Type M (40NM)",EDGG1,-,,,
EDGGACC,EDGGACC,below FL095,H24,40NM,"Not allowed
except to/from
LFEEACC",EDGG2,"EDLF400
EDEB400
EDEH400",EDGGACC without EDGGDUS,07 JUN 2023,
EDGGDUS,EDGGDUS,below FL095,H24,"0NM
except for DEP / ARR Dusseldorf_YZ_Group via BAM and/or BOT with 40NM",Not allowed,EDGG3,,to close EDGGDUS airspace for overflights below FL100 but enable ARR/DEP for Dusseldorf_YZ_Group,23 JUN 2021,
EDMMACC,EDMMACC,below FL095,H24,"40NM
except ARR/DEP EDD* 0NM",Not allowed,EDMM1,EPED400,"For major German airports, the DCT limit is set to 0NM to avoid flight plans cheating on regulations.",12 SEP 2023,
EDMMACC_3,"EDMMACC
(except EDMMTA)",above FL095,04:00..22:30 (03:00..21:30),"0NM
Exemption Type M - 40NM",Not allowed,EDMM1,EPED400,,05 APR 2023,
EDMMACC_2,EDMMACC East,Between FL095..FL245,22:30..04:00 (21:30..03:00),"0NM
Exemption Type M - 40NM",Not allowed,-,-,,05 APR 2023,
EDMMACC_FRA,EDMMACC East,Between FL245..FL315,22:30..04:00 (21:30..03:00),FRA,Not allowed,-,-,Free Route Airspace,,
EDMMACC_1,EDMMACC South,Between FL095..FL245,22:30..04:00 (21:30..03:00),"0NM
Exemption Type M - 40NM",Not allowed,-,-,,05 APR 2023,
EDMMACC_FRA_2,EDMMFRA South,Between FL245..FL315,22:30..04:00 (21:30..03:00),FRA,"Not allowed
except to/ from
LSASACC",-,-,Free Route Airspace,18 OCT 2022,
EDMMTA,EDMMTA,below FL095,H24,0NM,Not allowed,EDMM1,-,(AIP Sectors Erding High/Low(EDMMS) & Freising high/low(EDMMN)),05 APR 2023,
EDUUFRA_FRA,EDUUFRAE,above FL315,H24,FRA,"Not allowed
except to/ from
1. SECSI FRA 22:30..05:00 (21:30..04:00)
2. EDUUFRAN
3. LSASACC
4. EDYYFRA",-,-,Free Route Airspace,06 OCT 2023,
EDUUFRA_FRA_3,EDUUFRAN,above FL285,H24,FRA,"Not allowed
except to / from 
1. DK-SE FAB FRA
(only avbl for DEP / ARR DK-SE FAB except via ENOR/EFIN/EETT/EVRR FIRs)
2. EDUUFRAE
3. EDYYFRA",-,-,Free Route Airspace,06 OCT 2023,
EDUUFRA_FRA_4,EDUUFRAW,above FL245,H24,FRA,"Not allowed
except to/ from
1. LSASACC
2. EDYYFRA",-,-,Free Route Airspace,06 OCT 2023,
EDWWACC,EDWWACC,above FL095,04:00..22:30 (03:00..21:30),0NM,Not allowed,EDWW1,"EPED400
EDDS400
EDEH400",,,
EDWWACC_2,EDWWACC,Between FL095..FL245,22:30..04:00 (21:30..03:00),0NM,Not allowed,EDWW1,"EDDS400
EDEH400",,,
EDWWACC_1,"EDWWACC
(except EDWWDBAN, EDWWDBAS, EDWWDBAD)",below FL095,H24,30NM,Not allowed,EDWW1,"EPED400
EDDS400
EDEH400",,07 JUN 2023,
EDWWACC_FRA,EDWWACC East,Between FL245..FL285,22:30..04:00 (21:30..03:00),FRA,Not allowed,-,-,Free Route Airspace,,
EDWWDBAD,EDWWDBAD,below FL095,H24,0NM,Not allowed,EDWW1,-,,,
EDWWDBAN,EDWWDBAN,below FL095,H24,0NM,Not allowed,EDWW1,-,,,
