,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,Special Events,,
,,,,,
,,,Annex,Description,CHG
,,,Annex 1,GRAMMAR,NO
,,,Annex 2A,LiveTrial,YES
,,,Annex 2B,"HellenicFrench_Training_Nov_2025, LFFRASE, LG_MILEX_SOT_2025, LiveTrial, cerces_2025_military_exercise",YES
,,,Annex 2C,"Annex2C_ANDOYASPACE_END484Z, EGD497_Ground_to_Air_Trial, HellenicFrench_Training_Nov_2025, LG_MILEX_SOT_2025, MARTE_APERTO_AIP_AIRAC_SUP_S11_25, MILEX, MILEX_AIP_SUP_49_25, MILEX_FREEZING_WINDS_25, MILEX_ITAKAIRA_3_25, MILEX_POHJANMAA_2_25, MILEX_POHJANMAA_3_25, Military_Exercise_Airsolution_LY_AIP_SUP_5_2025, VIPER_SWORD_NATO_TIGER_MEET_2025_ETAP_C_2025, WIC_25_Phase_III",NO
,,,Annex 3A Conditions,,NO
,,,Annex 3A ARR,,NO
,,,Annex 3A DEP,,NO
,,,Annex 3B DCT,,NO
,,,Annex 3B FRA LIM,,NO
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
