ID,Definition,Remarks,Owner,"Release
Date"
LKVFR_GROUP,"(LKBA, LKBE, LKBO, LKBR, LKBU, LKCB, LKCE, LKCM, LKCR, LKCT, LKDK, LKER, LKFR, LKHB, LKHC, LKHD, LKHK, LKHN, LKHS, LKHV, LKCH, LKJA, LKJC, LKJH, LKJI, LKKA, LKKL, LKKM, LKKO, LKKR, LKKT, LKKY, LKLB, LKLN, LKLT, LKMB, LKMH, LKMI, LKMK, LKMO, LKMR, LKNM, LKOL, LKPA, LKPC, LKPI, LKPJ, LKPO, LKPL, LKPM, LKPN, LKPS, LKRA, LKRK, LKRO, LKRY, LKSA, LKSB, LKSK, LKSN, LKSO, LKSR, LKST, LKSU, LKSZ, LKTA, LKTC, LKTD, LKTO, LKUL, LKUO, LKVL, LKVM, LKVP, LKVR, LKVY, LKZA, LKZB, LKZD, LKZL, LKZM, LKZN)",CACD ID: VFR_GR,LK,17-May-23
LILLE_GROUP,"(LFAC, LFAQ, LFAT, LFAV, LFAY, LFQQ, LFQO, LFQT)",CACD ID: LFQQTMA,LF,08 FEB 2023
BREST_GROUP,"(LFRB, LFRU, LFRO, LFRJ)",CACD ID: LFRBTMA,LF,08 FEB 2023
SEVERN_GROUP,"(EGFF, EGFH, EGGD, EGSY)",CACD ID: CFEGDX,EG,08 FEB 2023
GENEVA_AREA,"(LSER, LSEZ, LSGB, LSGC, LSGE, LSGK, LSGN, LSGR, LSGS, LSGT, LSGY, LSEA, LSEC, LSEG, LSMP, LSTB, LSTO, LSTR, LSTS, LSTZ)",CACD ID: LSAGCTA,LS,08 FEB 2023
VALENCIA_GROUP,"(LEAL, LELC, LEVC, LEMI)",CACD ID: LEVCGR,LE,08 FEB 2023
HAVEL_GROUP,"(EDAD, EDAE, EDAI, EDAP, EDAS, EDAV, EDAY, EDBE, EDBF, EDBG, EDBK, EDBO, EDBQ, EDBW, EDCE, EDCF, EDCL, EDCQ, EDCS, EDHC, EDOC, EDOD, EDOG, EDOI, EDOJ, EDOL, EDOM, EDON, EDOR, EDOV, EDOY, EDOZ, EDUA, EDUF, EDUG, EDUS, EDUZ)",CACD ID: HAVEL GR,ED,08 FEB 2023
NANTES_GROUP,"(LFRE, LFRI, LFRS, LFRZ, LFFI, LFOU, LFEY)",CACD ID: LFRSTMA,LF,08 FEB 2023
BRNO_GROUP,"(LKTB, LKKU, LKNA)",CACD ID: BRNO GR,LK,08 FEB 2023
BASEL_GROUP,"(LFGA, LFGB, LFSB, LFSM)",CACD ID: LFSBTMA,LF,08 FEB 2023
LIMOGES_GROUP,"(LFBL, LFBK, LFBU, LFLD, LFOA, LFSL)",CACD ID: LIMOGES,LF,08 FEB 2023
BERN_GROUP,"(LSMA, LSME, LSZB, LSZG, LSZC)",CACD ID: BERN,LS,08 FEB 2023
FRANKFURT_GROUP,"(EDDF, EDFE, ETOU)",CACD ID: EDDF GR,ED,08 FEB 2023
OSTGOTA_GROUP,"(ESCF, ESKK, ESKN, ESOE, ESSL, ESSP, ESVK)",CACD ID: OSTGOTA,DS,08 FEB 2023
METZ_GROUP,"(LFJL, LFOK, LFQA, LFQB, LFSN)",CACD ID: LFJL+3,LF,08 FEB 2023
