ID,"From
(ADEP)","Crossing
Airspace","To
(ADES)",Condition,"Flight Level
Capping","Time
Applicability",Categorisation,"Operational
Goal",Remarks,"Release
Date"
YX4001,LONDON_GROUP,"EB, EG, EH, LF","(EDDF, EDDG, EDDK, EDDL, EDGS, EDKZ, EDLA, EDLE, EDLI, EDLM, EDLN, EDLP, EDLS, EDLV, EDLW, ETAR, ETOU, ELLX)",,Not above FL355,"LAST SUN IN MAR AT 01:00 - LAST SUN IN OCT AT 01:00
 04:00..23:00",C,To avoid complexity for Maastricht UAC 'High Sectors' due to profiles which are vertically entering / exiting the sector within a short distance.,,18-Sep-23
LE4095,SEVILLE_GROUP,LE,BARCELONA_GROUP,VIA LECMCTA,NOT ABV FL345,"AIRAC MAR-11 DEC
05:00-21:00",C,To offload LECMTLU sector,,21 JUL 2023
LE4096,BARCELONA_GROUP,LE,SEVILLE_GROUP,VIA LECMCTA,NOT ABV FL335,"AIRAC MAR-11 DEC
05:00-21:00",C,To offload LECMTLU sector,,21 JUL 2023
LF4416,GENEVA_GROUP,LFFFUJ,"ROISSY_GROUP, LFOB",,NOT ABV FL345,H24,S,To avoid complexity climbing/descending trafic,"During SKI Season LFLF4235/4239
takes precedence.",8-Sep-23
LF4227,"(GENEVA_AREA, GENEVA_GROUP)",LF,LILLE_GROUP,,"Not above FL345

------

Not above FL325","AIRAC NOV..AIRAC FEB
H24

------

AIRAC MAR..AIRAC OCT
H24",C,To avoid complexity climbing/descending trafic,,15 JUN 2021
LF4108,LYON_GROUP,LF,EB**,via CLM,Not above FL305,03:00..23:00 (02:00..22:00),C,To avoid complexity climbing/descending trafic,,15 JUN 2021
LF4186,CHAMBERY_GROUP,LF,LILLE_GROUP,,Not above FL305,H24,C,traffic orientation,,15 JUN 2021
LF4042,"(PARIS_GROUP, LFOB)",LF,CHAMBERY_GROUP,,Not above FL275,03:00..23:00 (02:00..22:00) ,C,To avoid complexity climbing/descending trafic,,15 JUN 2021
LF4072,"(PARIS_GROUP, LFOB)",LF,"(GENEVA_AREA, GENEVA_GROUP)",,Not above FL275,2022 03:00..23:00 (02:00..22:00) ,C,To avoid complexity climbing/descending trafic,,15 JUN 2021
LF4390,"(LYON_GROUP, CHAMBERY_GROUP)",LF,"(PARIS_GROUP, LFOB)",,Not above FL305,03:00..23:00 (02:00..22:00) ,C,To avoid complexity climbing/descending trafic,,15 JUN 2021
LF4279,ELLX,LF,"(EGHH/HI/HL/LF/LK/TF/VO/TD, EGKB/KA/LC/LD/MC/MD/SG/SX/TO/TR)",via sect:LFEE5R,"Not above FL345

------

Not above FL305","AIRAC NOV..AIRAC FEB
H24

------
AIRAC MAR..AIRAC OCT
H24",C,capacity for higher sectors,,09 JUL 2021
LF4345,"(BASEL_GROUP, LSZH)",LF,"(PARIS_GROUP, LFOB)",,Not above FL335,H24,C,capacity for highers sectors,,09 JUL 2021
LF4131,BASEL _GROUP,LF,"(ELLX, EDFH)",,Not above FL225,03:00..23:00 (02:00..22:00),C,capacity for higher sectors,,09 JUL 2021
LF4334,STRASBOURG_GROUP,LF,LYON_GROUP,via AKITO,Not above FL255,H24,C,capacity for higher sectors,,09 JUL 2021
LF4335,STRASBOURG_GROUP,LF,GENEVA_GROUP,via AKITO,Not above FL235,H24,C,capacity for higher sectors,,09 JUL 2021
