ID,Airway,From,To,"Point or
Airspace",Utilization,"Time
Applicability",Categorisation,"Operational
Goal",Remarks,ATC Unit,NAS/FAB,"Release
Date"
LC2103,,,,VESAR,"COMPULSORY FOR TFC
DEP/ARR OLBA WITH DEP/ARR LTAI VIA LC", 06:00..20:00,C,To offload South and West sectors,Reference Location is LC,LCCCACC,LC,4-Sep-23
LFEB1001,U/M617,CMB,ROBAL,,"NOT AVBL FOR TFC
ARR EDDK/DL, EBAW/BR/CI/MB/OS, EHWO
This-traffic-shall-file
1. CMB-ARVOL 
With ARR EBAW/BR/CI/MB
2. CMB N874 VEKIN N873 ADUTO 
With ARR EBOS, EHWO",H24,S,To segregate arriving traffic from departing traffic,,LFEEACC,"LF,EB",6-Sep-23
LI2034,,,,AIOSA/GISAM/PINUK,"NOT AVBL FOR TFC
1. ARR LGKR/PZ ABOVE FL335 
2. ARR LGKF/ZA ABOVE FL375","
AIRAC MAY..AIRAC OCT
H24
",S,to reduce complexity,,,LI,6-Sep-23
LF2342,UN874,BAMES,KOPOR,,"NOT AVBL FOR TFC
1. ARR (EBBUFIR, ad;EHBK, EHWO, EHBD, EHGR)
This-traffic-shall-file BAMES UT191 PODEM UN873 VEKIN
2. Via (ALESO, KUNAV, SOVAT, SUBIP)",H24,C,Traffic organisation,,LFEEACC,LF,6-Sep-23
LSLF1020,T45,ASLEG,VENAT,,"ONLY AVBL FOR TFC
DEP LFLL/LS/LY 
VIA LSAGSE WITH RFL ABV FL155 

------
COMPULSORY FOR TFC
DEP LFLL/LS/LY WITH RFL ABV FL155  VIA LSAGSE EXC VIA GEMLA",H24,S,"To facilitate Lyon Area organisation
To force traffic via the SID, to de-conflict departing traffic from arriving traffic",,"(LSAGACC,
LFMMACC)","LS,LF",6-Sep-23
LS2894,,,,LSASFRA,"NOT AVBL FOR TFC
ARR (EDSB, EDTL, LFST)
EXC VIA
1. TRA Z652 MOPAN
2. ELMUR T718 TRA Z652 MOPAN
3. BERSU Z141 MOPAN
4. RAVED L856 NEGRA DCT LOKTA
54. ELMUR N851 LOKTA
65. (LASGCTA, LSAGUTA) AND THEN:
a. BERSU Z141 MOPAN
b. BERSU N871 DITON T163 ZUE T125 ROMIR N851 LOKTA
c. LFEECTA",H24,S,Dedicated ARR RTEs through LSASFRA.,LSASFRA,"(LSAZACC, LSAGACC)",LS,15-Sep-23
ED2295,T847,NIVNU,TUTOVIMCOM,,"ONLY AVBL FOR TFC
ARR (EDDF, EDFM, EDFV, EDRY, ETAR)",H24,S,To segregate arriving from transit traffic,,EDGGACC,ED,7-Sep-23
ED2326,Y890,LULAT,RASVOKULZO,,"ONLY AVBL FOR TFC
DEP ELLX
1. WITH ARR (EDFE, EDFZ, ETOU)
2. WITH ARR EDDF",H24,S,"To segregate departing traffic from transit traffic.
option 2:
Traffic ARR EDDF with ACFT-PBN (O1, O2, O3, O4) shall file KULZO T847 INCOM and then use INCOM STAR.
Traffic ARR EDDF ACFT-PBN NOT (O1, O2, O3, O4) shall file KULZO Z110 RASVO and then use RASVO STAR.",,EDGGACC,ED,7-Sep-23
ED2340,,,,ASPAT,"NOT AVBL FOR TFC
ABV FL245
EXC VIA
1. ERNAS T161 FAWURDEBHI
2. (DEXIT, MAMOR) DCT ASPAT DCT VIBOM DCT BETEX ABV FL335
3. (IRBIR, MAH) DCT ASPAT DCT MASEK ABV FL355 AND THEN MAPOX",04:00-22:30 (03:00-21:30) ,S,"Free Route Flow restriction respecting LoA and OLDI conditions.
ASPAT is mainly limited to DCTs in EDUUFRAE/EDUUFRAW during night except option 2 and 3.
The listed DCTs  2 and 3 are options in EDUUFRAE and EDUUFRAW here limited to certain FLs.",,EDUUUAC,ED,7-Sep-23
ED2427,,,,"(EDUUDON1D, EDUUISA1I, EDUUCHI1K, EDUUALP1L)","NOT AVBL FOR TFC
ARR EDDF 
EXC VIA
1. SUBEN Q162 SPESA
2. (SUBEN, SIMBA) DCT AKINI T161 FAWURDEBHI BLW FL365 AT AKINI
3. (SUBEN, SIMBA) DCT AKINI T159 SPESA BLW FL365 AT AKINI
4. KONIN AND THEN VIA 
   a. ERNAS T161 FAWURDEBHI
   b. ERNAS Y101 TALAL T159 SPESA
5. ERKIR Q863 ETASA
6. MOGTI Q163 ETASA",H24,S,"Connecting Routes to / from KUAC
To force traffic via dedicated routes/points allowing transition to / from upper airspace.
(LoA and OLDI requirement, listed sectors above FL315)
For options via T159 further restrictions apply (ED2511).
Option 2 and 3 require to file listed DCTs before AKINI, RAD ANNEX 3B refers (H24, from SIMBA MIN FL335, from SUBEN MIN FL315).
Note, the use of SUBEN T161 AKINI is limited to traffic with an very early descend to FL300 before SUBEN.",,"(EDUUUAC,
EDMMACC)",ED,7-Sep-23
