ARR ID,ARR AD,"First PT STAR /
STAR ID",DCT ARR PT,ARR FPL Option,"ARR Time
Applicability","ARR Operational
Goal",ARR Remarks,NAS / FAB,"Release
Date"
LZ5531,LZZI,TEKLA,,"ONLY AVBL FOR TFC
1. via NIDOK L617 TEKLA
2. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,LZ,4-Sep-23
LZ5546,LZSL,"TIVON, KREMI, KALIF, TURIS",,"ONLY AVBL FOR TFC
1. via EPEDA R53 TIVON
2. via NIDOK L617 KREMI
3. via TAKOS A42 KALIF
4. via ABITU DCT TURIS
5. via NIT A42 TURIS
6. via LITKU Y301 KALIF
7. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,LZ,4-Sep-23
LZLK5502,LKMT,BILNA,,"ONLY AVBL FOR TFC
1. via KOPAT L617 BILNA
2. DEP LZZI
3. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,"LZ, LK",4-Sep-23
ED5555,EDDF,RASVO 1A/1B/1C/1D,,"ONLY AVBL AND COMPULSORY FOR TFC
VIA RAMOB ACFT-PBN (D1, D2, D3, D4)
------
NOT AVBL FOR TFC
ARR EDDF VIA RAMOB
EXC
1. VIA RASVO
2. DEP EDFH VIA RAMOB
3. VIA OBIGA Z111 RAMOB",H24,"To force RNAV-1 equipped flights to use correct RNAV STARs.  
The compulsory part of the restriction is only on RAMOB RASVO 1A/1B/1C/1D EDDF.
---------------------
2. to enable flight planning with intercept RASVO STAR at waypoint RAMOB as shortcut for CP EDFH - EDDF
3. to enable shortcuts for ARR EDDF via IDARO - OBIGA - Z111 - RAMOB
Heavies (ACFT type (A38*/MD11/B74*/C-5 Galaxy/AN124/AN225/E3A/KC35)), CARGO, GAT, shall expect landing on RWY25L/07R.
Switchover to southerly runway may be expected on turn to final. 
Assignment of RASVO 1B/1C STAR by ATC is possible.
In case of RCF landing on RWY25L/07R shall be performed.",,ED,7-Sep-23
LF7037,LFMK,,"FJR, GAI, MONIX, ORBIL, RAPES",,H24,Airport connectivity,,LF,8-Sep-23
LF5750,LFCK,FINOT,FINOT,"COMPULSORY FOR TFC
via LFBBUBDX
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via TUPAR DCT CNA DCT UVELI DCT SECHE DCT GAI G36 FINOT
2. via SOPIL DCT BALAN DCT EVPOK DCT NARAK DCT GAI G36 FINOT
3. via DISAK DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI G36 FINOT
4. via ERIXU DCT ETAMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI G36 FINOT
5. via ENUPA [DCT/G21] KUKOR DCT GUERE DCT EVPOK DCT NARAK DCT GAI G36 FINOT
6. via REPSI DCT LERGA DCT MINSO DCT NARAK DCT GAI G36 FINOT
7. via ESIDA DCT LERGA DCT MINSO DCT NARAK DCT GAI G36 FINOT
8. via TOPTU DCT TOU G393 FINOT
9. via ANETO DCT GONUP DCT TOU G393 FINOT
10. via GIROM DCT TOU G393 FINOT
11. via DEPOM DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI G36 FINOT",H24,"Airport connectivity
----
to organize ARR in LFBBUBDX","Other STAR only available below FL195 in LFBBFIR
FRA rule
In CACD define as per Annex3B:
DEPOM DCT DIRMO: FL135-UNL
Other DCTs: FL195-UNL",LF,8-Sep-23
LF5809,LFCI,,GAI,"COMPULSORY FOR TFC
via LFBBUBDX
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via TUPAR DCT CNA DCT UVELI DCT SECHE DCT GAI
2. via SOPIL DCT BALAN DCT EVPOK DCT NARAK DCT GAI
3. via DISAK DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI
4. via ERIXU DCT ETAMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI
5. via ENUPA [DCT/G21] KUKOR DCT GUERE DCT EVPOK DCT NARAK DCT GAI
6. via TOPTU DCT TOU DCT GAI
7. via GIROM DCT AGN DCT GAI
8. via GEANT DCT ROCAN DCT TOU DCT GAI
9. via REPSI DCT LERGA DCT MINSO DCT NARAK DCT GAI
10. via ESIDA DCT LERGA DCT MINSO DCT NARAK DCT GAI
11. via DEPOM DCT DIRMO DCT GUERE DCT EVPOK DCT NARAK DCT GAI",H24,"Airport connectivity
----
to organize ARR in LFBBUBDX","FRA rule
In CACD define as per Annex3B:
AGN DCT GAI: MEA-UNL
DEPOM DCT DIRMO: FL135-UNL
Other DCTs: FL195-UNL",LF,8-Sep-23
LF7124,LFBO,,"AGN, ASPET, GAI, LMB, SECHE",,H24,Airport connectivity,,LF,8-Sep-23
LF7125,LFBF,,"AFRIC, AGN, ASPET, GAI, LMB, MONIX, SECHE",,H24,Airport connectivity,,LF,8-Sep-23
LF7126,LFBR,,"AGN, ASPET, AUCHE, DODOM, FINOT, 
GAI, MONIX","COMPULSORY FOR TFC
via LFBBFIR except via LFFRASW",H24,Airport Connectivity,,LF,8-Sep-23
