DEP ID,DEP AD,"Last PT SID /
SID ID",DCT DEP PT,DEP FPL Options,"DEP Time
Applicability","DEP Operational
Goal",DEP Remarks,NAS / FAB,"Release
Date"
LZ5509,LZZI,TEKLA,,"ONLY AVBL FOR TFC
1. via TEKLA B45L617 NIDOK
2. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,LZ,4-Sep-23
LZ5524,LZSL,"TIVON, KREMI, KALIF, TURIS",,"ONLY AVBL FOR TFC
1. via TIVON R53  EPEDA
2. via KREMI B45L617 NIDOK
3. via KALIF A42 TAKOS
4. via TURIS A42 NIT
5. via TURIS DCT ABITU
6. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,LZ,4-Sep-23
LZLK5500,LKMT,BILNA,,"ONLY AVBL FOR TFC
1. via BILNA B45L617 KOPAT
2. ARR LZZI
3. With RFL below FL135 in LZBBFIR",H24,FRA connecting route,,"LZ, LK",4-Sep-23
LF7019,LFMK,,"MASAM, GALDO, FJR, PPG, MONIX, RAPES, ORBIL, ZR",,H24,Airport connectivity,,LF,8-Sep-23
LF7099,LFDJ,,"TOU, GAI, MONIX, ORBIL, FINOT, ZR, LMB, PMRADSER, DODOM, FINOT, RAPES","COMPULSORY FOR TFC
VIA LFBBFIR EXC VIA LFFRASW",H24,Airport connectivity,,LF,8-Sep-23
LF5806,LFCI,"MEN, GAI, MASAM","MEN, GAI, MASAM","COMPULSORY FOR TFC
via LFBBUBDX
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via GAI DCT PERIG DCT POI
2. via GAI DCT PERIG DCT ADABI DCT BOKNO
3. via GAI DCT PERIG DCT DIBAG DCT TUDRA DCT BEVOL
4. via GAI DCT POKET DCT TUPAR
5. via GAI DCT SECHE DCT UVELI DCT CNA
6. via GAI DCT AGN
7. via GAI DCT LOMRA DCT ROCAN
8. via MEN DCT NINUN
9. via MASAM G36 PPG DCT ALBER
10. via MASAM G36 PPG DCT KANIG",H24,"Airport connectivity
----
to organize DEP in LFBBUBDX","Other SID only available below FL195 in LFBBFIR
FRA rule
In CACD define as per Annex3B:
GAI DCT PERIG, GAI DCT POKET, GAI DCT SECHE, GAI DCT AGN, GAI DCT LOMRA: MEA-UNL
Other DCTs: FL195-UNL",LF,8-Sep-23
LF5582,LFBO,"FINOT, GAI","GAI, LMB","ONLY AVBL FOR TFC
With RFL below FL195",H24,ARR/DEP facilitationAirport connectivity,,LF,8-Sep-23
LF5753,LFCR,"MEN, GAI, ESISI","MEN, GAI, ESISI","COMPULSORY FOR TFC
via LFBBUBDX
------
NOT AVBL FOR TFC
via LFBBUBDX except
1. via ESISI DCT PERIG DCT CNA
2. via ESISI DCT PERIG DCT POI
3. via ESISI DCT PERIG DCT ADABI DCT BOKNO
4. via ESISI DCT PERIG DCT DIBAG DCT TUDRA DCT BEVOL
5. via ESISI G36 LMG
6. via GAI DCT AGN
7. via GAI DCT DEGOL DCT FJR
8. via GAI DCT LOMRA DCT ROCAN
9. via GAI DCT PPG A27 KANIG with ARR LEGE
10. via MEN DCT NINUN",H24,"Airport connectivity
----
to organize DEP in LFBBUBDX","Other SID only available below FL195 in LFBBFIR
FRA rule",LF,8-Sep-23
LF7122,LFBR,,"AUCHE, MONIX, ORBIL, RAPES, AGN, FINOT, GAIAGN, AUCHE, DODOM, FINOT, GAI, LMB, MONIX","COMPULSORY FOR TFC
via LFBBFIR except via LFFRASW",H24,Airport Connectivity,,LF,8-Sep-23
LF7234,LFBF,"TW, TLF","AUCHE, MONIX, ORBIL, RAPES, AGN, FINOT, GAIAGN, AUCHE, DODOM, FINOT, GAI, LMB, MONIX","COMPULSORY FOR TFC
via LFBBFIR except via LFFRASW",H24,Airport Connectivity,,LF,8-Sep-23
