RAD Application ID,Airspace,"Airspace
Vert. Limit","Time
Applicability","DCT
Horiz. Limit","Cross-border
DCT Limits","ID
DCT limit","ID Not allowed
Cross-border
DCT",Remarks,"Release
Date"
LFBBACC_4,LFBBACC,between FL065..FL195,H24,0NM,Allowed,LFBB2,,,8-Sep-23
LFBBACC_2,LFBBACC,below FL065,H24,50NM,Allowed,LFBB1,-,,8-Sep-23
EDMMACC,EDMMACC,below FL095,H24,"40NM
except ARR/DEP EDD*  0NM",Not allowed,EDMM1,EPED400,,12-Sep-23
LGGGACC,LGGGACC,Below FL305,H24,"0NM
Exemption Type M ",Not allowed,LG1,"LALG400
LGLT400
LGLC400
LGHE400
LGLI400
LGLM400",,15-Sep-23
LGGGACC_FRA,LGGGACC,Above FL305, H24,FRA,Not allowed,-,-,Free Route Airspace,15-Sep-23
LGMDACC,LGMDACC,Below FL305,H24,"0NM
Exemption Type M ",Not allowed,LG1,"LALG400
LGLW400
LGLB400
LGLT400",,15-Sep-23
LGMDACC_FRA,LGMDACC,Above FL305,H24,FRA,Not allowed,-,-,Free Route Airspace,15-Sep-23
EBBUACC_2,EBBUACC,Between FL115..FL245,H24,0NM,"Allowed
except to/from
EHAAACC / EHMCACC
EDGGACC",EB2,"EHEB400
EBED400",,
EBBUACC,EBBUACC,below FL115,H24,50NM,"Allowed
except to/from
EHAAACC / EHMCACC
EDGGACC / EGTTACC / LFFFACC",EB1,"EHEB400
EBED400
EGEB400
LFEB400",,
EDGGACC_2,EDGGACC,above FL095,H24,0NM,"Not allowed
except to/from
LFEEACC, Type M (40NM)",EDGG1,-,,
EDGGACC,EDGGACC,below FL095,H24,40NM,"Not allowed
except to/from
LFEEACC",EDGG2,"EDLF400
EDEB400
EDEH400",EDGGACC without EDGGDUS,07 JUN 2023
EDGGDUS,EDGGDUS,below FL095,H24,"0NM
except for DEP / ARR Dusseldorf_YZ_Group via BAM and/or BOT with 40NM",Not allowed,EDGG3,,to close EDGGDUS airspace for overflights below FL100 but enable ARR/DEP for Dusseldorf_YZ_Group,23 JUN 2021
EDMMACC_3,"EDMMACC
(except EDMMTA)",above FL095,04:00..22:30 (03:00..21:30),"0NM
Exemption Type M - 40NM",Not allowed,EDMM1,EPED400,,05 APR 2023
EDMMACC_2,EDMMACC East,Between FL095..FL245,22:30..04:00 (21:30..03:00),"0NM
Exemption Type M - 40NM",Not allowed,-,-,,05 APR 2023
EDMMACC_FRA,EDMMACC East,Between FL245..FL315,22:30..04:00 (21:30..03:00),FRA,Not allowed,-,-,Free Route Airspace,
