ID,From,To,"Lower Vert.
Limit (FL)","Upper Vert.
Limit (FL)","Available or Not
(Y/N)",Utilization,"DCT Time
Availability","Operational
Goal",Remarks,"Direction of
Cruising Levels",ATC Unit,"Release
Date"
LC5113,BONEK,TOSKA,MEA/MSA,660,Yes,,04:30-21:30 (03:30-20:30),To facilitate FRA Operations,,,LCCCACC,2-Sep-23
ED51493,DOMEG,ROTEK,FL155,FL245,Yes,"ONLY AVBL FOR TFC
ARR EHEH",H24,To offer seemless vertical and horizontal connection for ARR EHEH. ,,EVEN,EDGGACC,6-Sep-23
LG5060,EVENO,USINI,305,660,No,, H24,Traffic shall file UM601 RDS UL995 between these waypoints,,EVEN,LG*ACC,15-Sep-23
LG5061,USINI,EVENO,305,660,No,, H24,Traffic shall file UL995  RDS UM601 between these waypoints,,ODD,LG*ACC,15-Sep-23
LG5058,EVENO,KOPAR,305,660,No,,H24,Traffic shall file UM601 RDS UL995 between these waypoints,,EVEN,LG*ACC,15-Sep-23
LG5059,KOPAR,EVENO,305,660,No,,H24,Traffic shall file UL995  RDS UM601 between these waypoints,,ODD,LG*ACC,15-Sep-23
LG5054,MES,RDS,305,660,No,"NOT AVBL FOR TFC
-",H24,Traffic shall file UL609 between these waypoints,,,LG**ACC,15-Sep-23
LG5056,RDS,MES,305,660,No,"NOT AVBL FOR TFC
-",H24,Traffic shall file UL609 between these waypoints,,,LG**ACC,15-Sep-23
LG5064,VELOP,ATV,MEA,305,Yes,"ONLY AVBL FOR TFC
DEP LGSA", H24,"Shorten route for traffic DEP LGSA to the N/W, N/E with FL<305",,EVEN,LG**ACC,15-Sep-23
GC5027,ETIBA,DKH,195,305,Yes,,When GCD79T/TE is active,"Alternative route to avoid GCD79T
Offset -30 minutes prior to activation.",,ODD,GCCCACC,19-Sep-23
GC5034,LIMAL,ORVEK,195,305,Yes,,When GCD79W/T/WE/TE is active,"Alternative route to avoid GCD79W/T
Offset -30 minutes prior to activation.",,ODD,GCCCACC,19-Sep-23
GC5037,NOCUT,LIMAL,245,305,Yes,"ONLY AVBL FOR TFC
RNAV5 GNSS equipped (B1 or B2)","When GCD79E/T/EE/TE is active
","Alternative route to avoid GCD79E/T
Offset -30 minutes prior to activation.",,ODD,GCCCACC,19-Sep-23
ED51512,ADEMI,DOMEG,FL155,FL245,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EHEH VIA EDGGPADH, EDGGHMM, EDGGBOT",H24,"to offer shorter connection and force all flights ARR EHEH via Sectors EDGGPADH, EDGGHMM, EDGGBOT on this routing",,EVEN,EDGGACC,6-Sep-23
LF50310,DODOM,ADSER,055,115,Yes,"ONLY AVBL FOR TFC
DEP (TOULOUSE_GROUP, LFBA, LFCG) AND THEN ARR (TOULOUSE_GROUP, LFBA, LFCG)",H24,"To facilitate connection with LFBB FIR 
Airport connectivity around Toulouse",,ODD,LFBBACC,8-Sep-23
LF50311,ADSER,DODOM,055,115,Yes,"ONLY AVBL FOR TFC
DEP (TOULOUSE_GROUP, LFBA, LFCG) AND THEN ARR (TOULOUSE_GROUP, LFBA, LFCG)",H24,"To facilitate connection with LFBB FIR 
Airport connectivity around Toulouse",,EVEN,LFBBACC,8-Sep-23
LF50312,RAPES,ADSER,055,115,Yes,"ONLY AVBL FOR TFC
DEP (TOULOUSE_GROUP, LFBA, LFCG) AND THEN ARR (TOULOUSE_GROUP, LFBA, LFCG)",H24,"To facilitate connection with LFBB FIR 
Airport connectivity around Toulouse",,ODD,LFBBACC,8-Sep-23
LF50313,ADSER,RAPES,055,115,Yes,"ONLY AVBL FOR TFC
DEP (TOULOUSE_GROUP, LFBA, LFCG) AND THEN ARR (TOULOUSE_GROUP, LFBA, LFCG)",H24,"To facilitate connection with LFBB FIR 
Airport connectivity around Toulouse",,EVEN,LFBBACC,8-Sep-23
LF50314,GOSAD,LACOU,055,115,Yes,"ONLY AVBL FOR TFC
DEP (TOULOUSE_GROUP, LFBA, LFCG) AND THEN ARR TOULOUSE_GROUP, LFBA, LFCG)",H24,"To facilitate connection with LFBB FIR 
Airport connectivity around Toulouse",,EVEN,LFBBACC,8-Sep-23
LF50315,LACOU,GOSAD,055,115,Yes,"ONLY AVBL FOR TFC
DEP (TOULOUSE_GROUP, LFBA, LFCG) AND THEN ARR (TOULOUSE_GROUP, LFBA, LFCG)",H24,"To facilitate connection with LFBB FIR 
Airport connectivity around Toulouse",,ODD,LFBBACC,8-Sep-23
