Restriction Id,Restriction Type,Operational Goal,Enabled,Externally Available,Validity WEF,Validity TIL,During,Days of Week,Start Time,End Time
BL100A,M,EN-ROUTE FRA LIMITATION IN RAS BALTFRA,N,Y,05/10/2023,30/11/2023,Y,1234567,0000,0000
BLEDWE500A,M,CROSS BORDER FRA LIMITATION FROM RAS BALTFRA TO RAS EDWWFRAE,N,Y,05/10/2023,11/12/2036,Y,1234567,0000,0000
DUEDUW500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,----5--,0000,0300
DUEDUW500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,1------,0000,0300
DUEDUW500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,-2-----,2230,0000
DUEDUW501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,-----6-,0300,2130
DUEDUW501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,--3----,0300,2130
DUEDUW501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,-2-----,0300,2130
DUEDUW501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDUUFRAW,Y,Y,10/08/2023,11/12/2036,Y,1------,0300,2130
DUWDME500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAW TO RAS EDMMFRAE,Y,Y,23/02/2023,11/12/2036,Y,--3----,2130,0000
DUWDME500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAW TO RAS EDMMFRAE,Y,Y,23/02/2023,11/12/2036,Y,--3----,0000,0400
