"Change
Ind.","Valid
From","Valid
Until",ID,"From
(ADEP)","Crossing
Airspace","To
(ADES)",Condition,"Flight Level
Capping","Time
Applicability",Categorisation,"Operational
Goal",Remarks,"Release
Date","Special Event and 
Crisis"
AMD,23 JUN 2025 [2506],25 JUN 2025 [2506],EGEH4001,(EHAM/RD),"EG, EH",EGKB/LC/MC/TO,,"Not above FL215
----------
Not above FL205","H24 23 JUN 2025 13:00-25 JUN 2025 22:00
----------
23 JUN 2025 00:00-13:00 & 25 JUN 2025 22:00-00:00 ",C,segregate traffis flows,to support rerouting via WOODY during Nato summit 2025.,04 JUN 2025,NATO_summit_2025
AMD,23 JUN 2025 [2506],25 JUN 2025 [2506],EGEH4002,"(EHAM, EHEH)","(EGTTUIR, EHAAFIR)","(FARNBOROUGH_GROUP, LONDON_GROUP, EGBJ, EGHH, EGHI, EGVA, EGVN)",EXC VIA (ENZEN DCT KUBAX),"RFL FL295
----------
RFL FL245","23 JUN 2025 13:00-25 JUN 2025 22:00
----------
23 JUN 2025 00:00-13:00 & 25 JUN 2025 22:00-00:00H24",C,segregate traffis flows,"toTo support rerouting during NATO summit.  Traffic arriving (EGGW, EGKK, EGLL, EGSC, EGSS, EGWU, EGTE, EGHI, EGHH, SEVERN_GROUP), may file ENZEN DCT KUBAX FL255 - FL305 between 23 JUN 2025 13:00 - 25 JUN 2025 22:00  Other destinations remain capped at FL245.  ",04 JUN 2025,NATO_summit_2025
AMD,26 JUN 2025 [2506],UFN,EGEH4002,"(EHAM, EHEH)","(EGTTUIR, EHAAFIR)","(FARNBOROUGH_GROUP, LONDON_GROUP, EGBJ, EGHH, EGHI, EGVA, EGVN)",,RFL FL245,H24,C,segregate traffis flows,,05 JUN 2025,
AMD,27 MAY 2025 [2505],2509 [01 OCT 2025],EK4001,EKBI    ,EK,ENGM    ,,FL355,H2405:00-19:00,C,To avoid sector overload.,,26 MAY 2025,
AMD,27 MAY 2025 [2505],2509 [01 OCT 2025],EK4002,ENGM,EK,EKBI,,FL365,H2405:00-19:00,C,To avoid sector overload.,,26 MAY 2025,
AMD,27 MAY 2025 [2505],2509 [01 OCT 2025],EK4003,ENGM,EK,EKCH,,FL330,H2405:00-19:00,C,To avoid sector overload,,26 MAY 2025,
AMD,19 JUN 2025 [2506],2509 [01 OCT 2025],EK4003,ENGM,EK,EKCH,,FL330FL335,05:00-19:00,C,To avoid sector overload,,19 JUN 2025,
AMD,2506 [12 JUN 2025],UFN,LF4089,"(LIP*, LIME, LIMP, LIRP, LIRQ, LSZS)","(LE, LF, LI)",BARCELONA_GROUP,VIA DIVKOLFMMBB,NOT ABV FL355FL350,"AIRAC MAR - FIRST AIRAC OCT
05:00-23:00 (04:00-22:00)",C,To offload upper sectors in LFMMACC.,,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,LF4318,"(EBBR, EBCI, LILLE_GROUP, LFOB)","(EB, LE, LF)","(BORDEAUX_AREA, LFMP, LFMT, LFML, LFMI, LFMV, LFMU, LEBB, LESO)",VIA RESMI,FL345,"AIRAC APR - FIRST AIRAC OCT
06:200-08:3045 (05:200-07:3045) & 10:200-19:0015 (09:200-18:0015)",C,To offload LFBBACC upper sectors,,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,LF4437,"(EHAM, EHRD, EHEH, ELLX, EDFH)",LF,"LESO, LEBB, BORDEAUX_AREA, LFMMFIR EXC (AJACCIO_GROUP, BASTIA_GROUP, LFKT)",VIA LFBBP14 ,FL355,AIRAC APR-FIRST AIRAC OCT 10:200-19:0015 (09:200-18:0015),C,To lessen complexity of LFBBP14 sector,,05 JUN 2025,
