"Change
Ind.","Valid
From","Valid
Until",ID,Airway,From,To,"Point or
Airspace",Utilization,"Time
Applicability",Categorisation,"Operational
Goal",Remarks,ATC Unit,NAS/FAB,"Release
Date","Special Event and 
Crisis"
AMD,22 JUN 2025 [2506],UFN,LF3416,,,,LFRRVKWIU,"NOT AVBL FOR TFC
DEP (EGLL, EGKK, EGGD, EGFF, EGTE, EGHI, EGHH)",AIRAC MAR-FIRST AIRAC OCT  06:00-119:00 (05:00-1018:00),C,"To offload upper sectors (LFRRVKWIU)  : kind of light  FL6RVK)  :   FL7RVK scenario.
Traffic should file at FL lower than FL355",,,LF,20 JUN 2025,
AMD,2506 [12 JUN 2025],25 OCT 2025 [2510],NM2074,,,,LHCCFIR,"NOT AVBL FOR TFC
1. DEP (LROP, LRBS, LRCV) AND-THEN ARR LI**
2. DEP LI** AND-THEN ARR (LROP, LRBS, LRCV)","(LYTSA11, LYTSA11Z, LYTSA12, LYTSA12Z) NOT ACT",C,"Summer 2025 measures to offload Hungary in the summer
When the LYTSA11/Z, LYTSA12/Z are NOT active, traffic should route VIA LY. When the areas are active traffic should be allowed to file via LH, due to the very limited routing options, otherwise.","Possible suspension on D-1 due to convective weather
To avoid reject on reroute via LH when TSAs are active, Ref loc for item 1 is LR-LH BDRY and Ref loc for item 2 is LH-LR BDRY",LHCCACC,NM,10 JUN 2025,Summer2025
DEL,23 JUN 2025 [2506],UFN,NM2074,,,,LHCCFIR,"NOT AVBL FOR TFC
1. DEP (LROP, LRBS, LRCV) AND-THEN ARR LI**
2. DEP LI** AND-THEN ARR (LROP, LRBS, LRCV)","(LYTSA11, LYTSA11Z, LYTSA12, LYTSA12Z) NOT ACT",C,"Summer 2025 measures to offload Hungary in the summer
When the LYTSA11/Z, LYTSA12/Z are NOT active, traffic should route VIA LY. When the areas are active traffic should be allowed to file via LH, due to the very limited routing options, otherwise.","Possible suspension on D-1 due to convective weather
To avoid reject on reroute via LH when TSAs are active, Ref loc for item 1 is LR-LH BDRY and Ref loc for item 2 is LH-LR BDRY",LHCCACC,NM,20 JUN 2025,Summer2025
NEW,21 JUN 2025 [2506],UFN,LC2125,,,,"(PASOS, LAKTO, RASDA)","NOT AVBL FOR TFC
DEP HE** & RFL ABV FL345 IN LC",H24,S,Create a common level gap ,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2126,,,,"(PASOS, LAKTO, RASDA)","NOT AVBL FOR TFC
XNG OE - HE BDRY AND-THEN ARR (LF, LONDON_GROUP, LI, LS, EB, EI,  LG , FRANKFURT_GROUP, LD**, EH**)
",H24,S,To balance traffic between RASDA and LAKTO,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2127,,,,PASOS,"COMPULSORY FOR TFC
XNG OE - HE BDRY AND-THEN ARR (OLBA, LCLK)",H24,S,Traffic orientation  ,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2128,,,,PASOS,"COMPULSORY FOR TFC
XNG OE - HE BDRY AND-THEN VIA VESAR",H24,S,Traffic orientation    ,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2129,N307,MELDO,LAKTO,,"NOT AVBL FOR TFC
XNG OE - HE BDRY",H24,S,Traffic orientation   ,,LCCCACC,LC,20 JUN 2025,
NEW,21 JUN 2025 [2506],UFN,LC2130,,,,LOVEX,"NOT AVBL FOR TFC
VIA PASOS",H24,S,Traffic orientation   ,,LCCCACC,LC,20 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2000,T171,NIMAB,LASTO,,"ONLY AVBL FOR TFC
ARR (FRANKFURT_GROUP, FRANKFURT_YZ_GROUP)",H24,S,To segregate arriving traffic from transit traffic,,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2001,Z115,MAG,ORTAG,,"NOT AVBL FOR TFC
1. ARR (ED**/**, ET**) EXC 
1
    a. ARR (EDNY, EDTL, EDTM)
2. TFC )
    b. VIA (ORTAG T177 ESEGU
3)
    c. DEP EDDB",H24,S,"To segregate traffic.
Not listed ARR ED/ET should file via GALMA (if not via T177).",,"(EDMMACC,
, EDWWACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2009,L87,TADUV,TOGRO,,"NOT AVBL FOR TFC
1. ABV FL315 EXC 
1AT (TADUV L87 TOGRO) EXC
    a. ARR (EDDR, EDDS, EDFM, EDFV, EDJA, EDRY, EDRZ, EDTL, EDTY, EDSB, EDTM, ETAR)
    ) & VIA (TOGRO T202 SULED DCT BAMKI
2)
    b. ARR EDDN
   BTN 17:00-07:00 (16:00-06:00) AT TADUV
3
    c. ARR (EDQ*, ETSI, ETSN)","1. a. H24
1. b. 17:00-07:00 (16:00-06:00) AT TADUV
1. c. H24",S,To offer listed ARR better connection and limit all other traffic to FL315 and below within EDMM AoR. (LoA and OLDI requirement),,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2010,M736,MAG,GALMA,,"NOT AVBL FOR TFC
1. DEP (EDDB, HAVEL_GROUP)
) EXC
1
    a. VIA (GALMA Z94 WEMAR
2. WITH )
    b. ARR (EDQ*, EDDE)
3)
    c. BLW FL245 AT (MAG M736 GALMA)",H24,S,to segregate traffic departing EDDB,,"(EDMMACC,
, EDWWACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2015,T726,RASPU,GORKO,,"ONLY AVBL FOR TFC
ARR EDDE",H24,S,to allow northbound traffic only inbound EDDE,,"(EDGGACC,
, EDMMACC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2016,Z94,BAMKI,VAGAB,,"NOT AVBL FOR TFC
VIA (VAGAB T170 GAPLA)",H24,C,to avoid unusual turning,,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
AMD,06 JUN 2025 [2505],UFN,ED2017,T279,TIKNI,TAMEB,,"ONLY AVBL FOR TFC
ARR (EDDB, EDDP, EDAC, EDAZ, HAVEL_GROUP)",H24,S,to segregate arriving traffic,,"(EDMMACC,
, EDUUUAC)",ED,05 JUN 2025,
