RAD 2506 V1.21 (Rolling RAD Document),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Valid From 12/06/2025,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"This document represents a consolidated version of all RAD Annexes. As such, all relevant RAD is incorporated as separate Sheets within this document.",,,,,,,,
,,,,,,,,
Contents,,,,,,Special Events,,
,,,,,,,,
Annex,Description,CHG,,,,Annex,Description,CHG
Annex 1,Area Definitions,NO,,,,Annex 1,GRAMMAR,NO
Annex 2A,Flight Level Capping Rules,NO,,,,Annex 2A,"NATO_summit_2025, Summer2025",NO
Annex 2B,Local and Cross-border Capacity and Structural Rules,YES,,,,Annex 2B,"NATO_summit_2025, PSYCHE_LINKS, Summer2025",YES
Annex 2C,FUA Traffic Flow Rules,NO,,,,Annex 2C,"BALTOPS, Drone_surveillance_insight25, MARTE_APERTO_AIP_AIRAC_SUP_S11_25, MIL_EXE_ITAKAIRA_2_25, PSYCHE_LINKS, WIC_25_Phase_I",NO
Annex 3A Conditions,Aerodrome Connectivity Options,NO,,,,Annex 3A Conditions,,NO
Annex 3A ARR,Aerodrome Connectivity Options,NO,,,,Annex 3A ARR,"NATO_summit_2025, ONU_MEETING_ADJUSTMNTS",NO
Annex 3A DEP,Aerodrome Connectivity Options,NO,,,,Annex 3A DEP,"NATO_summit_2025, ONU_MEETING_ADJUSTMNTS",NO
Annex 3B DCT,En-route DCT Options,NO,,,,Annex 3B DCT,NATO_summit_2025,NO
Annex 3B FRA LIM,En-route DCT Options,NO,,,,Annex 3B FRA LIM,,NO
,,,,,,,,
Useful links,,,,,,,,
ERNIP Part 4 RAD User Manual,,,,,,,,
ERNIP Part 1,,,,,,,,
RAD Application ,,,,,,,,
RAD Home Page,,,,,,,,
NM Flight Planning,,,,,,,,
RMG Sharepoint,,,,,,,,
,,,,,,,,
,,,,,,,,
Change Record Indication,,,,,,,,
BLACK BOLD,Presents changed data after the RAD publication date versus the previous published RAD version.,,,,,,,
NORMAL FONT,"Presents previous changes of the TFR within this AIRAC.These changes are kept in the file to allow a complete overview, they do not need to be acted upon.",,,,,,,
