Change Status,Point Type,FRA Point,FRA Point Latitude,FRA Point Longitude,FRA Name,FRA Status En-Route,FRA Status ARR/DEP,Arrival Airport(s),Departure Airport(s),FLOS,Level Availability,Time Availability,Airspace Location Indicators,Cross-Border FRA States,Remarks
,,ABADI,N404519,E0183830,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIBB,,
,,ABAKO,N371102,E0163958,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ABAKU,N514037,E0190453,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,EPLL,,-,FL095 / FL660,H24,EPWW,,
,,ABDAB,N375321,E0103743,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,-,FL195 / FL660,H24,LIRR,DTTC,
,,ABERO,N521340,E0231232,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,A,"EPMO,EPWA",,-,FL095 / FL660,H24,EPWW,UMMV,
,,ABESI,N460935,E0090234,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,D,,"LIMC,LIME,LIMF,LIMJ,LIML",-,FL195 / FL660,H24,LSAS,,
,,ABETI,N474040,E0170046,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,5500 FT / FL660,H24,LOVV,,
,,ABETI,N474040,E0170046,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,5500 FT / FL660,H24,LHCC,,
,,ABETI,N474040,E0170046,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,LHCC,,
,,ABIDU,N405919,E0102214,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,"LIRF,LIRA",-,FL195 / FL660,H24,LIRR,,
,,ABIRI,N464545,E0145803,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,AD,"LOWG,LOWK","LOWG,LOWK",-,LAL / FL660,H24,LOVV,,
,,ABISO,N461545,E0142108,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,LAL / FL660,H24,LJLA,,
,,ABITU,N482000,E0181929,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,A,"LKKU,LKTB",,-,FL245 / FL660,H24,LZBB,,
,,ABKON,N395220,E0104824,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ABLAT,N452326,E0133734,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,AD,LJPZ,LJPZ,-,FL205 / FL660,H24,LDZO,,
,,ABLAT,N452326,E0133734,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,AD,LJPZ,LJPZ,-,LAL / FL660,H24,LDZO,,
,,ABLOM,N480403,E0170516,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LOVV,LZBB,
,,ABLOM,N480403,E0170516,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,-,LAL / FL245,H24,LOVV,LZBB,
,,ABLOM,N480403,E0170516,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LZBB,LOVV,
,,ABMOG,N444252,E0105814,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,ABNAT,N355330,E0190000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LMMM,,
,,ABOLO,N470001,E0271959,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LRBC,LRBC,-,FL105 / FL660,H24,LRBB,,
,,ABONY,N471615,E0195845,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL095 / FL660,H24,LHCC,,
,,ABRAM,N342000,E0123816,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,ODD,FL195 / FL660,H24,LMMM,HLLL,
,,ABREG,N461825,E0093305,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,D,,LIME,-,FL195 / FL660,H24,LIMM,LSAS,
